"[""RechercheClinique(GRC)'déﬁcienceintellectuelleetautisme"", ""RechercheClinique(GRC)'déﬁcienceintellectuelleetautisme"", 'PROPN', 'NNP']"
"['0211_EPI_ASD', '0211_epi_asd', 'NUM', 'CD']"
"['29PVswerefoundinIDpatientsand3inASDpatients.7PVswere', '29pvswerefoundinidpatientsand3inasdpatients.7pvswere', 'NUM', 'CD']"
"['29PVswerefoundinIDpatientsand3inASDpatients.7PVswere', '29pvswerefoundinidpatientsand3inasdpatients.7pvswere', 'NUM', 'CD']"
"['29PVswerefoundinIDpatientsand3inASDpatients.7PVswere', '29pvswerefoundinidpatientsand3inasdpatients.7pvswere', 'NUM', 'CD']"
"['2Autism', '2autism', 'NOUN', 'NN']"
"['2Autism', '2autism', 'NOUN', 'NN']"
"['2Autism', '2Autism', 'PROPN', 'NNP']"
"['-4SD,-4,3SD),heartdefect(ASDI', '-4SD,-4,3SD),heartdefect(ASDI', 'PROPN', 'NNP']"
"['6Autism', '6autism', 'NOUN', 'NN']"
"['6Autism', '6autism', 'NOUN', 'NN']"
"['6Autism', '6autism', 'NOUN', 'NN']"
"['7ASD', '7ASD', 'PROPN', 'NNP']"
"['7ASD', '7ASD', 'PROPN', 'NNP']"
"['7DupASD', '7dupasd', 'NUM', 'CD']"
"['7DupASD', '7dupasd', 'NUM', 'CD']"
"['7DupASD', '7dupasd', 'NUM', 'CD']"
"['7DupASD', '7dupasd', 'NUM', 'CD']"
"['7DupASD', '7dupasd', 'NUM', 'CD']"
"['8Autism', '8Autism', 'PROPN', 'NNP']"
"['8Autism', '8Autism', 'PROPN', 'NNP']"
"['8Autism', '8Autism', 'PROPN', 'NNP']"
"['A7inCMStype20wasdescribedin2016,and', 'a7incmstype20wasdescribedin2016,and', 'NOUN', 'NN']"
"['absentspeechandautismwithcompoundheterozygous', 'absentspeechandautismwithcompoundheterozygous', 'ADJ', 'JJ']"
"['ADandASDbrainandtoelucidatepathwaysbrain', 'ADandASDbrainandtoelucidatepathwaysbrain', 'PROPN', 'NNP']"
"['ADandASDbrainandtoelucidatepathwaysbrain', 'ADandASDbrainandtoelucidatepathwaysbrain', 'PROPN', 'NNP']"
"['adiagnosisofASD.Theidentiﬁed', 'adiagnosisofASD.Theidentiﬁed', 'PROPN', 'NNP']"
"['aggressivenessorautismspectrumdisorder)(5/6', 'aggressivenessorautismspectrumdisorder)(5/6', 'PROPN', 'NNP']"
"['alllocatedatgeneticASDhotspots', 'alllocatedatgeneticasdhotspot', 'NOUN', 'NNS']"
"['alsobeendescribedinautisticpatientswithID.InDecipher', 'alsobeendescribedinautisticpatientswithid.indecipher', 'ADV', 'RB']"
"['Analysis(CMA)wasdoneusing', 'analysis(cma)wasdoneuse', 'VERB', 'VBG']"
"['Analysis(CMA)wasdoneusing', 'analysis(cma)wasdoneuse', 'VERB', 'VBG']"
"['Analysis(CMA)wasdoneusing', 'analysis(cma)wasdoneuse', 'VERB', 'VBG']"
"['andautismspectrumdisorders', 'andautismspectrumdisorder', 'NOUN', 'NNS']"
"['andautismspectrumdisorders', 'andautismspectrumdisorder', 'NOUN', 'NNS']"
"['andautismspectrumdisorders', 'andautismspectrumdisorder', 'NOUN', 'NNS']"
"['andautisticsymptoms', 'andautisticsymptoms', 'PROPN', 'NNP']"
"['andautistictraits', 'andautistictrait', 'NOUN', 'NNS']"
