,Word,All count,Matched count,
0,none,80244,16874,0.210283635
1,gene,73991,11402,0.154099823
2,patient,65440,9558,0.146057457
3,mutat,59507,7761,0.130421631
4,genet,47765,7741,0.162064273
5,studi,34368,5359,0.155929935
6,result,30593,4443,0.145229301
7,use,30138,4568,0.151569447
8,case,28360,3927,0.138469676
9,associ,26648,5837,0.219040829
10,diseas,26558,3964,0.149258227
11,variant,26398,5489,0.207932419
12,analysi,26263,3811,0.145109089
13,famili,25811,,0
14,clinic,25730,4084,0.158725223
15,sequenc,22861,3242,0.141813569
16,p,22512,4402,0.195540156
17,chromosom,22383,,0
18,syndrom,22203,3773,0.169931991
19,cell,19842,,0
20,univers,,4124,#DIV/0!
21,de,,4114,#DIV/0!
22,identifi,,3263,#DIV/0!
