Title,Session_Code,Author,Affiliations,Text,Year
 Leena Peltonen Lecturer Complex Genetics,PL1.1,"T. Lappalainen1,2","1New York Genome Center, New York, NY, United States,","2Columbia University, New York, NY, United States Detailed characterization of cellular effects of genetic var  iants is essential for understanding biological processes thatunderlie genetic associations to disease, to improve the interpretation of the personal genome, and to characterize the genetic architecture of molecular variation. This hasinspired large consortium projects to create and integrate population scale genome data with transcriptome data –as well as other molecular phenotype data –in human popu  lations. The catalogs of genetic effects on the transcriptome across multiple human tissues and conditions now allows downstream discovery in diverse questions in genetics,including joint effects of regulatory and coding variants underlying modi ﬁed penetrance of disease causing variants, and novel methods to understand variation in gene dosagein human populations and patients.T. Lappalainen: D. Speakers Bureau/Honoraria (speak  ers bureau, symposia, and expert witness); Modest; Merck.",2018
 Recent advances in mutational signatures of human cells,PL1.2,S. Nik Zainal,"Department of Medical Genetics, Cambridge, United Kingdom","A cancer genome contains the historic mutagenic activity that has occurred throughout the development of atumour. While driver mutations were the main focus of cancer research for a long time, passenger mutational signatures   the imprints of DNA damage and DNA repairprocesses that have been operative during tumorigenesis   are also biologicall y informative. In this lecture, I provide a synopsis of this concept, describe the insights that wehave gained through combinations of computational analysis and experiments i n cell based systems, and showcase how we have developed the concept intoapplications that we hope to translate into clinical utility in the near future. S. Nik Zainal: None.1234567890();,: 1234567890();,:PL2 What's New and Late Breaking Sessio",2018
" Genomic sequencing 15,000 healthy elderly individuals Implications for clinical genetics",PL2.1,"P. Lacaze1, R. Sebra2, M. Riaz1, R. Woods3, I. Winship4,5,","ASPREE Investigator Group, ASPREE Healthy Ageing","Biobank, E. Schadt2, J. McNeil3 1Public Health Genomics, Monash University, Melbourne, Australia,2Icahn Institute and Dept. of Genetics & Genomic Sciences at Mount Sinai School of Medicine, New York, NY, United States,3School of Public Health and Preventive Medicine, Monash University, Melbourne, Australia,4Genetic Medicine and Family Cancer Clinic, Royal Melbourne Hospital, Melbourne, Australia,5Department of Medicine, University of Melbourne, Melbourne, Australia Introduction : The variable penetrance of pathogenic var  iants remains a major challenge to clinical genetics practice,particularly in predictive testing of hereditary cancer risk genes. Ascertainment bias towards affected individuals and their families has in part shaped our understanding of genepenetrance. Here we report, for the ﬁrst time, rates of pathogenic variation in hereditary cancer genes across thousands of healthy elderly individuals, ascertained with out reference to clinical phenotype or family history, enrolled in an aspirin primary prevention trial. Materials and Methods : Individuals enrolled in the ASPirin in Reducing Events in the Elderly (ASPREE) Healthy Ageing Biobank were screened using a 760 gene ‘super panel ’including pan cancer gene coverage. The average age was 75 years (min 65 years, max. 98 years), and all participants were con ﬁrmed to be free of life  threatening cancer diagnoses, cardiovascular disease orcognitive decline at time of enrolment. Medical records, family history and clinical data were mined for evidence of cancer phenotypes in mutation carriers. Results : We detected hundreds of pathogenic and high  conﬁdence predicted deleterious mutations in hereditary cancer genes in elderly individuals (>10,000 samplessequenced Feb 2018). Mutations were often detected in the absence of any reported disease phenotype or family history. Overall, pathogenic variants were found at acomparable rate to population based cohorts, suggesting over representation of non penetrant individuals in this study. Conclusions : Pathogenic germline mutations in cancer predisposition genes may exist more commonly in the population than expected, raising questions about clinicalactionability, risk and penetrance.P. Lacaze: F. Consultant/Advisory Board; Modest; BC Platforms. R. Sebra: A. Employment (full or part time); Signi ﬁcant; Sema4. M. Riaz: None. R. Woods: None. I. Winship: None. E. Schadt: A. Employment (full or part  time); Signi ﬁcant; Sema4. J. McNeil: None.",2018
 CRISPR QTL mapping as a genome wide association framework for cellular genetic screens of the noncodinggenome,PL2.2,"M. Gasperini1, A. Hill1, J. L. McFaline Figueroa1, B. Martin1,","C. Trapnell1, N. Ahituv2, J. Shendure1,3,4","1University of Washington, Seattle, WA, United States, 2University of California San Francisco, San Francisco, CA, United States,3Brotman Baty Institute for Precision Medicine, Seattle, WA, United States,4Howard Hughes Medical Institute, Seattle, WA, United States Almost all noncoding variants returned from whole genome sequencing (WGS) cannot be con ﬁdently interpreted. Although most are thought to disrupt gene function by disrupting regulatory elements such as enhancers, it is stilllargely unknown which noncoding regions constitute true enhancers, nor which genes each enhancer in ﬂuences. To empirically address this, we have developed CRISPR QTLmapping, a framework in which large numbers of noncod  ing perturbations are introduced to each cell on an isogenic background, followed by single cell RNA sequencing(scRNA seq). This framework is borrowed from conven  tional human expression quantitative loci (eQTL) studies, but with individual humans replaced by individual cells;variants replaced by 'unlinked' combinations of guide RNA  programmed perturbations per cell; and tissue level RNA  seq of many individuals replaced by scRNA seq of manycells. We applied CRISPR QTL mapping to evaluate 1,119 candidate enhancers with no strong a priori hypothesis as to their target gene(s). Perturbations were made by a nuclease dead Cas9 tethered to KRAB, and introduced at a mean ‘allele frequency ’of 1.1% into a population of 47,650 proﬁled human K562 cells (median of 15 gRNAs identi ﬁed per cell). We tested for differential expression of all genes within 1 megabase of each candidate enhancer, evaluating 17,584 potential enhancer target gene relationships in oneexperiment. We identify 128 cisCRISPR QTLs whose targeting resulted in downregulation of 105 nearby genes (of which 49 genes are thought to underlie disease). Weanticipate that the power of CRISPR QTL mapping will facilitate the comprehensive characterization of enhancer  gene relationships, thus advancing interpretation of non coding variants discovered through WGS.Abstracts from the 51stEuropean Society of Human Genetics Conference: Oral. . . 749M. Gasperini: None. A. Hill: None. J.L. McFaline Figueroa: None. B. Martin: None. C. Trapnell: None. N. Ahituv: None. J. Shendure: None.",2018
 Elimination of aneuploid cells in the early mammalianembryo,PL2.3,"S. Singla, M. Zernicka Goetz","University of Cambridge, Cambridge, United Kingdom","Whole chromosomal aneuploidies   loss and/or gain of chromosomes from a euploid complement   are responsible for the low fecundity in humans. Here we use mouseembryo as a model system to understand how mosaic aneuploidy affects embryonic development. To experimentally induce chromosome missegregation in thecleavage stage embryos, we inhibit the master spindle assembly checkpoint kinase Mps1, which results in a high percentage of aneuploid cells in the embryos. We introducemosaicism in the system by making chimeras using euploid and aneuploid cells. Detailed analysis of such chimeras revealed that during blastocyst maturation abnormal cellscontributing to the inner cell mass undergo preferential elimination up to 40%. Using an in vitro culture system capable of recapitulating in vivo mosaic embryos duringperi implantation development and time lapse imaging, we have found aneuploid cells are further preferentially elimi  nated from the epiblast via apoptosis. Moreover, wedemonstrate that autophagy genes are signi ﬁcantly upre  gulated in aneuploid cells. Using pharmacological treat  ments to knockdown genes involved in autophagyapoptosis, we have found the onset of autophagy mediated apoptosis during embryogenesis. Overall, our ﬁndings suggest that p53 mediated autophagy promotes apoptosis ofaneuploid cells in mouse preimplantation embryos. This work gives an insight into the mechanisms behind sub  fertility, developmental defects, and miscarriages duringpregnancy. Funding Wellcome Trust; Cambridge Com  monwealth, European and International Trust. S. Singla: None. M. Zernicka Goetz: None.",2018
 SLC10A7 mutations in human and mouse cause a skeletal dysplasia with amelogenesis imperfecta mediated by GAG biosynthesis defects,PL2.4,"J. Dubail1, C. Huber1, S. Chantepie2, S. Sonntag3, B. Tüysüz4,","E. Mihci5, C. Gordon1, E. Steichen Gersdorf6, J. Amiel1,","B. Nur4, I. Stolte Dijkstra7, A. van Eerde8, K. van Gassen8, C. Breugem9, A. Stegmann10, A. Bruneel11, N. Seta11,A. Munnich1, D. Papy Garcia2, M. De La Dure Molla1, V. Cormier Daire1 1Institut Imagine INSERM U1163, Paris, France,2CRRET Laboratory, Université Paris Est Créteil, Créteil, France, 3Polygene AG, Rümlang, Switzerland,4Cerrahpasa Medicine School, Istanbul, Turkey,5Akdeniz University Facultu of Medecine, Antalya, Turkey,6Medical University of Innsbruck, Innsbruck, Austria,7University Medical Center Groningen, Groningen, Netherlands,8Center for Molecular Medecine, Utrecht, Netherlands,9University Medical Center Utrecht, Utrecht, Netherlands,10Radboud University Medical Center, Nijmegen, Netherlands,11Hôpital Bichat, Paris, France Skeletal dysplasias with multiple dislocations are a group of severe disorders characterized by dislocations of large joints, scoliosis, short stature and a variable combination of cleft palate, heart defects, intellectual disability and obesity. Withthe help of massively parallel sequencing technologies, the majority of these rare disorders have been linked to patho  genic variants in genes encoding glycosyltransferases ( “lin  keropathies ”), sulfotransferases, epimerases or transporters, required for glycosaminoglycan (GAG) biosynthesis. These ﬁndings support the existence of a new group of inborn errors of development de ﬁned by impaired GAG biosynthesis. However, several ﬁndings suggest that GAG synthesis is more complex than previously described and that there are anumber of partners of unknown function still to be identi ﬁed. Using exome sequencing, we identi ﬁed homozygous mutations in SLC10A7 inﬁve individuals with a skeletal dysplasia with dislocations and amelogenesis imperfecta. Common features were severe growth retardation<  3SD, cleft palate, yellow/brown teeth, knee dislocations, spineanomalies and advanced carpal ossi ﬁcation. SLC10A7 encodes a 10 transmembrane domain transporter located at the plasma membrane, with a yet unidenti ﬁed substrate. Functional studies in vitro demonstrated that SLC10A7 mutations were loss of functions mutations reducing SLC10A7 protein expression. We generated a Slc10a7  /  mouse model which displayed short long bones, growth plate disorganization and tooth enamel anomalies, recapi  tulating the human phenotype. Furthermore, we identi ﬁed decreased heparan sulfate levels in Slc10a7 / mouse cartilage and patient ﬁbroblasts. Finally, we found an abnormal N glycoprotein electrophoretic pro ﬁle in patient blood samples. Together, our ﬁndings support the involve  ment of SLC10A7 in glycosaminoglycan synthesis and speciﬁcally in skeletal and tooth development. J. Dubail: None. C. Huber: None. S. Chantepie: None. S. Sonntag: None. B. Tüysüz: None. E. Mihci: None. C. Gordon: None. E. Steichen Gersdorf: None. J. Amiel: None. B. Nur: None. I. Stolte Dijkstra: None. A. van Eerde: None. K. van Gassen: None. C. Breugem: None.750 J. del PicchiaA. Stegmann: None. A. Bruneel: None. N. Seta: None. A. Munnich: None. D. Papy Garcia: None. M. De La Dure Molla: None. V. Cormier Daire: None.",2018
 Local and global chromatin interactions are altered bylarge genomic deletions associated with human brain development,PL2.5,"X. Zhang1, Y. Zhang2, X. Zhou1, C. Purmann1, M. S. Haney1,","T. R. Ward1, J. Yao3, S. M. Weissman3, A. E. Urban1","1Stanford University, Palo Alto, CA, United States,2Mount Sinai, New York, NY, United States,3Yale University, New Haven, CT, United States Large copy number variants (CNVs) in the human genome are strongly associated with common neurodevelopmental,neuropsychiatric disorders such as schizophrenia and aut  ism. Using Hi C analysis of long range chromosome interactions, including a novel approach for haplotype speciﬁc Hi C analysis, and ChIP Seq analysis of regulatory histone marks, we studied the epigenomic effects of the prominent heterozygous large deletion CNV on chromo some 22q11.2, with replication analyses for the CNV on 1q21.1 [BioRxiv 182451]. There are local and global gene expression changes as well as pronounced and multilayered effects on chromatin states, chromosome folding and topological domains of the chromatin, that emanate from the large CNV locus.Regulatory histone marks are altered in the deletion ﬂanking regions, in opposing directions for activating and repressing marks. Histone marks are changed along chromosome 22qand genome wide. Chromosome interaction patterns are weakened within the deletion boundaries and strengthened between the deletion ﬂanking regions. The long range folding contacts between the telomeric end of chromosome 22q and the distal deletion  ﬂanking region are increased. Using haplotype speci ﬁc Hi C analysis we determined that on the chromosome 22q with deletion the topological domain spanning the CNV boundaries is deleted in its entirety while neighboring domains interact more intenselywith each other. Finally, there is a widespread and complex effect on chromosome interactions genome wide, i.e. involving all other autosomes, with some of this effect tiedto the deletion region on 22q11.2. These ﬁndings suggest novel principles of how such large genomic deletions can alter nuclear organization and affectgenomic molecular activity. NIH grants X. Zhang: None. Y. Zhang: None. X. Zhou: None. C. Purmann: None. M.S. Haney: None. T.R. Ward: None. J. Yao: None. S.M. Weissman: None. A.E. Urban: None.",2018
 miR 204 overexpression exerts a protective role in inherited retinal diseases,PL2.6,"M. Karali1,2, E. Marrocco1, M. Pizzo1, I. Guadagnino1,","A. Carissimo1, I. Conte1, E. M. Surace1,3, S. Ban ﬁ1,2","1Telethon Institute of Genetics and Medicine (TIGEM), Pozzuoli, Italy,2Dept. of Biochemistry, Biophysics and General Pathology, University of Campania 'Luigi Vanvitelli', Naples, Italy,3Department of Translational Medicine, University of Naples 'Federico II', Naples, Italy Introduction: Inherited retinal diseases (IRDs) are pro  gressive neurodegenerative conditions of the retina thatrepresent a main cause of genetic blindness in the Western world. Their high genetic heterogeneity hinders the devel  opment of effective gene based therapies. We have recentlydemonstrated that the microRNA miR 204 is essential for retinal function and plays a pathogenic role in IRD in humans. Therefore, we investigated the potential ther apeutic action of this microRNA in IRDs. Materials and Methods: We delivered by subretinal injection an adeno associated viral vector carrying the miR 204 precursor to the Aipl1 knockout and the P347S  RHO transgenic mouse lines, models of autosomal recessive and dominant forms of IRDs, respectively. The impact on retinalfunction and degeneration was assessed by electroretino  graphic and immunohistological analyses. Results: We detected a notable improvement of the ERG response in the miR 204 injected eyes of P347S  RHO mice. This effect persisted for two months post injection and was prevalent under photopic conditions that re ﬂect cone activity. We also observed a preservation of cone photo  receptors and a signi ﬁcant decrease in apoptotic photo  receptor cells. Photoreceptors were better preserved also inthe miR204 injected eyes of Aipl1 knockout mice. Tran  scriptome analysis suggested that dampening of microglia activation represents one of the main mechanisms under lying the neuroprotective effect of miR 204. Conclusions: Ourﬁndings indicate that the subretinal delivery of miR 204 attenuates retinal degeneration in IRDmouse models and preserves retinal function, supporting the gene independent therapeutic potential of this microRNA. Supported by the Foundation Fighting Blindness and the Italian Telethon Foundation. M. Karali: None. E. Marrocco: None. M. Pizzo: None. I. Guadagnino: None. A. Carissimo: None. I. Conte: None. E.M. Surace: None. S. Ban ﬁ:None. LB1 NAXD mutations cause a novel neurodegenerative disorder exacerbated by febrile illnessesAbstracts from the 51stEuropean Society of Human Genetics Conference: Oral. . . 751N. J. Van Bergen1,2, Y. Guo3, J. Rankin4,5, N. Paczia6, J. Becker  Kettern6, L. S. Kremer7,8, A. Pyle9, J. Conrotte6,C .J . Ellaway10,11,12, P. Procopis13,12, K. Prelog14, T. Homfray15, J. Baptista4,5, E. Baple4,5, M. Wakeling4, S. Massey1, D. P. Kay6, A. Shukla16, K. M. Girisha16, L. E. S. Lewis17, S. D. Santra18, R. Power19, P. Daubeney19,20, J. Montoya21, E. Ruiz Pesini21, R. Kovacs Nagy7,22, M. Pritsch23, U. Ahting7,D .R . Thorburn1,2,24, H. Prokisch7,8, R. Taylor9, J. Christodoulou1,2,24, C. Linster6, S. Ellard4,5, H. Hakonarson3 1Murdoch Children's Research Institute, Melbourne, Australia, 2Department of Paediatrics, University of Melbourne, Melbourne, Australia,3Center for Applied Genomics, Children ’s Hospital of Philadelphia, Philadelphia, PA, United States,4University of Exeter Medical School, Exeter, United Kingdom,5Royal Devon Exeter NHS Foundation Trust, Exeter, United Kingdom,6Luxembourg Centre for Systems Biomedicine, University of Luxembourg, Belvaux,Luxembourg, 7Institute of Human Genetics, Technische Universität München, Munich, Germany,8Institute of Human Genetics, Helmholtz Zentrum München, Munich, Germany, 9Wellcome Centre for Mitochondrial Research, Institute of Neuroscience, The Medical School, Newcastle University, Newcastle upon Tyne, United Kingdom,10Western Sydney Genetics Program, Children's Hospital at Westmead, Sydney, Australia,11Discipline of Genetic Medicine, University of Sydney, Sydney, Australia,12Discipline of Child and Adolescent Health, University of Sydney, Sydney, Australia, 13Neurology Department, Children's Hospital at Westmead, Sydney, Australia,14Medical Imaging Department, Children's Hospital at Westmead, Sydney, Australia,15Royal Brompton and St George ’s University Hospital, London, United Kingdom,16Department of Medical Genetics, Kasturba Medical College and Hospital, Manipal, India,17Department of Paediatrics, Kasturba Medical College and Hospital, Manipal Academy of Higher Education, Manipal, India, 18Birmingham Children ’s Hospital, Birmingham, United Kingdom,19Royal Brompton Hospital, London, United Kingdom,20National Heart and Lung Institute, Imperial College, London, United Kingdom,21Departamento de Bioquimica y Biologia Molecular y Celular  CIBER de Enfermedades Raras (CIBERER) Instituto de InvestigaciónSanitaria de Aragón (IISAragon), Universidad Zaragoza, Zaragoza, Spain, 22Department of Medical Chemistry, Molecular Biology and Pathobiochemistry, SemmelweisUniversity,, Budapest, Hungary, 23Department of Pediatric Neurology, DRK Childrens Hospital, Siegen, Germany, 24Victorian Clinical Genetics Services, Melbourne, Australia Introduction: Niacin (vitamin B3) is the precursor for the nicotinamide nucleotide cofactors NAD+and NADP+, which are critical coenzymes for a number of key metabolic processes involving oxidation/reduction, includingglycolysis, the citric acid cycle and the mitochondrial respiratory chain. Hydration of their reduced forms (either spontaneously if the temperature is elevated or following speciﬁc enzymatic processes) leads to the accumulation of NADHX and NADPHX, which are toxic and can inhibit a number of dehydrogenases. Highly conserved dehydrataseNAD(P)HX Dehydratase (NAXD) is one of the key intra  cellular NADHX/NADPHX repair enzymes. Materials and Methods: We describe 6 unrelated children with generally fever induced recurrent episodic neurological impairment and/or cardiac failure with early demise, and its genetic basis. Results: Genomic sequencing revealed biallelic NAXD variants in all cases, and in silico analyses predicting potential pathogenicity for each of them. Pathogenicity wasfunctionally validated using patient ﬁbroblasts through a combination of transcript analysis (splicing abnormality in one case), demonstration of markedly elevated S NADHX,R NADHX and cyclic NADHX, impaired mitochondrial function, and reduced viability in culture media containing galactose and azide but not glucose. Transduction withwildtype NAXD restored damaged metabolite levels back to normal. Finally, in vitro studies revealed that the two missense variants [(p.(Gly63Ser) and p.(Arg608Cys)] werethermolabile, and speci ﬁc ATP dependent NADHX dehy  dratase activity showed abnormal enzyme kinetics. Conclusion: This is the ﬁrst report of a human disorder caused by NAXD de ﬁciency, showing remarkable clinical overlap with the other known defect of the NADH/NADPH repair pathway, NAXE de ﬁciency. N.J. Van Bergen: None. Y. Guo: None. J. Rankin: None. N. Paczia: None. J. Becker Kettern: None. L.S. Kremer: None. A. Pyle: None. J. Conrotte: None. C.J. Ellaway: None. P. Procopis: None. K. Prelog: None. T. Homfray: None. J. Baptista: None. E. Baple: None. M. Wakeling: None. S. Massey: None. D.P. Kay: None. A. Shukla: None. K.M. Girisha: None. L.E.S. Lewis: None. S.D. Santra: None. R. Power: None. P. Daubeney: None. J. Montoya: None. E. Ruiz Pesini: None. R. Kovacs  Nagy: None. M. Pritsch: None. U. Ahting: None. D.R. Thorburn: None. H. Prokisch: None. R. Taylor: None. J. Christodoulou: None. C. Linster: None. S. Ellard: None. H. Hakonarson: None. LB2 GTF2I regulates social behavior by promoting neuronal maturation: implications for Williams Beuren and 7q11.23 microduplication syndromes A. Lopez Tobon1,2, R. Shyti1,2, E. Villa1, N. Caporale1, S. Trattaro1,2, C. Cheroni1, F. Troglio1, B. Marcó de la Cruz1, M. Gabriele1, N. Malerba1, F. Kooy3, G. Merla4, G. Testa1,2752 J. del Picchia1Laboratory of Stem Cell Epigenetics, European Institute of Oncology, Milan, Italy,2University of Milan, Milan, Italy, 3Department of Medical Genetics, University of Antwerp, Antwerp, Belgium,4Medical Genetics Unit, IRCCS Casa Sollievo della Sofferenza Hospital, San Giovanni Rotondo, Italy Copy number variations at the 7q11.23 locus comprising 26  28 genes cause neurodevelopmental disorders with shared andopposite phenotypes. Deletion cause Williams Beuren syn  drome (WBS) characterized by hypersociability, anxiety and intellectual disability, while duplication give rise to 7qduplication syndrome (7DupASD) with severe impairments in language, anxiety and autism spectrum disorder (ASD). Despite the well established genetic underpinnings of thesedisorders effective treatments are unavailable. Converging evidence points to GTF2I as a major player mediating the cognitive behavioral phenotype associated with WBS and7DupASD. We showed previously in patient derived iPSC and neural progenitors that GTF2I associates with LSD1 to suppress expression of genes involved in neuronal function,whereas inhibition of LSD1 restored gene expression balance. Here we used mouse models together with patient derived 3D cortical organoids and single cell transcriptomics to dissectthe molecular foundations of WBS and 7DupASD. Mice with duplication of GTF2I faithfully recapitulated the ASD like phenotype in the three chambered sociability apparatus.Remarkably, inhibition of LSD1 with an irreversible inhibitor, rescued the ASD like phenotype. Bulk and single cell RNAseq from cortical organoids revealed divergent dynam ics of neuronal maturation with accelerated maturation in 7DupASD and decelerated in WBS organoids resulting in a divergent neural fate, which was con ﬁrmed by relative abundance of basal progenitor populations. Strikingly, knockdown of GTF2I in 7DupASD organoids rescued neu  ronal maturation rate to control levels. These ﬁndings suggest that GTF2I LSD1 axis plays a critical role in social behavior and cognition by controlling the timing of cortical maturation. A. Lopez Tobon: None. R. Shyti: None. E. Villa: None. N. Caporale: None. S. Trattaro: None. C. Cheroni: None. F. Troglio: None. B. Marcó de la Cruz: None. M. Gabriele: None. N. Malerba: None. F. Kooy: None. G. Merla: None. G. Testa: None. LB3 Biallelic mutations of the dihydroceramide desaturase DEGS1 gene cause a novel hypomyelinating leukodystrophy with a therapeutic hope A. Pujol1, D. Pant1, A. Schluter1, N. Launay1, S. Aguilera2, M. Willis3, L. Colleaux4, I. Dorboz5, M. Patterson6, J. Gleeson7, O. Boesp ﬂug Tanguy8, A. Fatemi9, J. Terriente10, C. Pujades111IDIBELL, Barcelona, Spain,2Navarra Hospital Complex, Pamplona, Spain,3Naval Medical Center San Diego, San Diego, CA, United States,4INSERM UMR1163, Paris, France, 5Robert Debre Hospital, Paris, France,6Mayo Clinic, Rochester, MN, United States,7Howard Hughes Medical Institute, San Diego, CA, United States,8Robert Debre Hospital, PAris, France,9Johns Hopkins University, Baltimore, MD, United States,10ZClinics, Barcelona, Spain, 11Pompeu Fabra University, Barcelona, Spain Sphingolipid imbalance is t he culprit in a variety of neurological diseases, some affecting the myelin sheathas the lysosomal storage disorders Krabbe and Meta  chromatic leukodystrophy, among others. Here we have used whole exome sequencing to uncover the endo plasmic reticulum lipid desaturase DEGS1 as the cau  sative gene of a novel leukodystrophy. This enzyme catalizes the ﬁn a ls t e pi nt h e de novo biosynthesis of ceramides controlling the conv ersion of dihydroceramide (DhCer) to ceramide (Cer), and may play intriguing roles in antiapoptotic, and anabolic and insulin signalling.Through international collaborative networks, we have identi ﬁed eighteen patients from twelve unrelated families carrying biallelic de leterious variants in the DEGS1 gene. Common features among the cases include severe hypomyelination, cerebellar atrophy, and thinning of the corpus callosum on MRI, accompanied by speechabnormalities, developmental delay and intellectual dis  ability, suggesting a critical role of DEGS1 and ceramide metabolism in myelin development and maintenance.Patients ’ﬁbroblasts exhibited accumulation of DhCer, which increased ROS production. Knockdown of the DEGS1 ortholog in Danio rerio recapitulated the bio  chemical imbalance of ceram ides, showed diminished numbers of mature oligodendrocytes and impaired locomotor abilities. The enzymatic inhibition of cer amide synthase, one step prior to DEGS1 in the pathway, by the multiple sclerosis treatment Fingolimod (FTY720), restored the critic al DhCer/Cer balance, and ameliorated the cellular and locomotor phenotypes in the zebra ﬁsh model. These results pave the way to clinical translation, illustrating the tr ansformative, timely impact of clinical genomics in patient care. Funded by Marató TV3; Fondo de Investigación Sanitario ISCiii, Hesperia Foundation. A. Pujol: None. D. Pant: None. A. Schluter: None. N. Launay: None. S. Aguilera: None. M. Willis: None. L. Colleaux: None. I. Dorboz: None. M. Patterson: None. J. Gleeson: None. O. Boesp ﬂug Tanguy: None. A. Fatemi: None. J. Terriente: None. C. Pujades: None.Abstracts from the 51stEuropean Society of Human Genetics Conference: Oral. . . 753PL3 Mendel Lecture",2018
 CRISPR Cas9: How bacteria revolutionize genome engineering,PL3.1,"E. Charpentier1,2","1Max Planck Institute for Infection Biology, Berlin, Germany,","2Humboldt University, Berlin, Germany The CRISPR Cas9 system has recently emerged as a transformative technology in biological sciences, allowing rapid and ef ﬁcient targeted genome editing, chromosomal marking and gene regulation in a large variety of cells andorganisms. The system consists of Cas9, an enzyme that can be programmed with RNA guides to target site speci ﬁcally any DNA sequence of interest. The system is ef ﬁcient, versatile and easily programmable. CRISPR Cas9 research has developed into one of the most dynamic and fastest  moving ﬁelds in life sciences and holds great promise for future biotechnical and biomedical applications. The CRISPR Cas9 system is remarkably simple in its design, close to a plug and play method, which can therefore beeasily leveraged for a large variety of gene targeting. Application of the system has been extraordinarily broad, including among many others the generation of transgenicanimals, genetic modi ﬁcation of various eukaryotic cell types, and genetic modi ﬁcation of plants and crops. Tool and kit service companies offer CRISPR Cas9 related pro ducts and at least three biotechnology companies have been founded during the past years to develop the technology for the treatment of serious human genetic disorders, withprobably many more to come. Already, the CRISPR Cas9 system is an integral and critical part of the toolbox for any researcher who intends to modify genetic information bymeans of targeted introduction or correction of mutations, replacement of genes, modi ﬁcation of DNA or modulation of transcription in any cell or organism   and the applica tions of this breakthrough technology are continuing to increase at a rapid pace. E. Charpentier: None. Concurrent Symposia S01 Prenatal Genetics   joint with EMPAG",2018
 The utility of sizing up cell free fetal DNA,S01.1,"R. ChiuHong Kong, Hong Kong",Cell free DNA molecules circulate in human plasma in the,"form of short fragments. Cell free fetal DNA demonstrate an even shorter size pro ﬁle than the circulating maternal DNA in maternal plasma. This observation could beexploited as a means to differentiate the fetal DNA popu  lation from the maternal DNA in maternal circulation. For example, aneuploidies of fetal origin may result in aberrantgenomic representation among the shorter DNA molecules in the maternal plasma sample. While noninvasive prenatal testing by maternal plasma DNA sequencing generallyprovides high sensitivities and speci ﬁcities for the detection of common fetal chromosomal aneuploidies, false positive results may occur. We reasoned that the combined used ofcell free DNA counting and size measurements may allow one to identify the false positive cases. We applied the combined protocol to test for fetal chromosomal aneu ploidies among 20,000 cases seeking NIPT screening. The approach was able to identify sex chromosome aneuploidies of maternal origin, copy number variations of maternalorigin, artefacts caused by sequencing biases or conditions that perturbed the maternal plasma DNA pro ﬁle, such as systemic lupus erythematosus. The adoption of theapproach led to a substantial reduction in the number of reports that would otherwise become a false positive result with respect to the fetal chromosome pro ﬁle. Next, we reasoned that if cell free fetal DNA molecules were shorter than the cell free maternal DNA molecules, the fragmen  tation sites of the two different population of DNA mole cules might be different. Interestingly, we demonstrated that the ending sites between the cell free fetal and maternal DNA molecules indeed showed consistent differences.Some of the ending sites were reproducibly detectable from maternal plasma collected from different pregnancies and served as a means to assess the fetal DNA fraction in thesample. (supported by the Research Grants Council of the Hong Kong SAR Government under the Theme based research scheme (T12 403/15 N).)",2018
