Title,Session_Code,Author,Affiliations,Text,Year
 Targeted therapy in patients with PIK3CA related overgrowth syndrome,PL1.3,G. Canaud,"Necker Enfants Malades hospital, Paris, France","CLOVES syndrome (congenital lipomatous overgrowth, vascular malformations, epidermal naevi, scoliosis/skeletal and spinal syndrome) is a genetic disorder that results fromsomatic, mosaic gain of function mutations of the PIK3CA gene, and belongs to the spectrum of PIK3CA related overgrowth syndromes (PROS). This rare condition has nospeciﬁc treatment and a poor survival rate. Here, we describe a postnatal mouse model of PROS/CLOVES that partially recapitulates the human disease, and demonstratethe ef ﬁcacy of BYL719, an inhibitor of PIK3CA, in preventing and improving organ dysfunction. On the basisof these results, we used BYL719 to treat nineteen patients with PROS. The drug improved the disease symptoms in allpatients. Previously intractable vascular tumours became smaller, congestive heart failure was improved, hemihyper  trophy was reduced, and scoliosis was attenuated. Thetreatment was not associated with any substantial side effects. In conclusion, this study provides the ﬁrst direct evidence supporting PIK3CA inhibition as a promisingtherapeutic strategy in patients with PROS. G. Canaud: None. PL2 What ’s New?",2019
 The single cell transcriptional landscape of mammalianorganogenesis,PL2.1,M. Spielmann,"1,J .C a o2, X. Qiu2, X. Huang2,","D. M. Ibrahim1, A. J. Hill2, F. Zhang3, S. Mundlos1, L. Christiansen3, F. J. Steemers3, C. Trapnell2, J. Shendure21234567890();,: 1234567890();,:1Max Planck Institute for Molecular Genetics, Berlin, Germany,2University of Washington, Seattle, WA, United States,3Illumina, San Diego, CA, United States During mammalian organogenesis, the cells of the three germ layers transform into an embryo that includes mostmajor internal and external organs. The key regulators of developmental defects can be studied during this critical window, but conventional approaches lack the throughputand resolution to obtain a global view of the molecular states and trajectories of a rapidly diversifying and expanding number of cell types. We have developed a three step combinatorial barcoding method to pro ﬁle single cell transcriptomes ( ‘sci RNA  seq3 ′) without requiring physical isolation of each cell. We have used this new method to pro ﬁle whole mouse embryos staged between 9.5 and 13.5 days of gestation with sci  RNA seq3, and created a transcriptional atlas of mouseorganogenesis at single cell resolution ( http://atlas.gs.wa shington.edu/mouse rna/ ). We identify hundreds of expanding, contracting and transient cell types and de ﬁne the corresponding sets of cell type speci ﬁc marker genes, several of which we validate by whole mount in situ hybridization. With Monocle 3, we delineate and annotate56 single cell developmental trajectories of mouse organo  genesis. We explore the dynamics of proliferation and gene expression within cell types over time, including focusedanalyses of the apical ectodermal ridge, limb mesenchyme and skeletal muscle. These data comprise a foundational resource for mammalian developmental biology. This single cell atlas of the development of wild type mice also represent a ﬁrst step towards understanding pleiotropic developmental disorders at the organismal scaleand provides rich opportunities for detailed investigations of subtle roles for genes and regulatory sequences involved in developmental defects. M. Spielmann: None. J. Cao: None. X. Qiu: None. X. Huang: None. D.M. Ibrahim: None. A.J. Hill: None. F. Zhang: A. Employment (full or part time); Signi ﬁcant; Illu  mina. S. Mundlos: None. L. Christiansen: A. Employment (full or part time); Signi ﬁcant; Illumina. F.J. Steemers: A. Employment (full or part time); Signi ﬁcant; Illumina. C. Trapnell: None. J. Shendure: None.",2019
 Chromatin 3D interactions mediate genetic effects on gene expression,PL2.2,O. Delaneau,"1,2, M. Zazhytska3, C. Borel2, G. Giannuzzi3,","G. Rey2, C. Howald2, H. Ongen2, K. Popadin3, D. Marbach1, G. Ambrosini4, D. Bielser2, D. Hacker5, L. Romano Palumbo2, P. Ribaux2, E. Falconnet2,P. Bucher4, S. Bergmann1, S. Antonarakis2, A. Reymond3, E. Dermitzakis2 1Department of Computational Biology, University of Lausanne, Lausanne, Switzerland,2Department of Genetic Medicine and Development, University of Geneva, Geneva,Switzerland, 3Center for Integrative Genomics, Faculty of Biology and Medicine, University of Lausanne, Lausanne, Switzerland,4Swiss Institute for Experimental Cancer Research, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland,5Protein Expression Core Facility, School of Life Sciences, Ecole PolytechniqueFédérale de Lausanne (EPFL), Lausanne, Switzerland Genome wide studies on the genetic basis of gene expression and chromatin structure have considerably advanced our understanding of the function of the human genome. However, it remains unclear how structure relatesto function and here we aim at studying this by assembling a dataset combining the activity of regulatory elements (ChIP seq for H3K4me1, H3K4me3 and H3K27ac),expression of genes (RNA seq) and genetic variations of 317 European individuals across two cell types (Lympho  blastoid Cell Lines and Fibroblasts). First, we show that the regulatory activity is structured in 12,583 Cis Regulatory Domains (CRDs) that are re ﬂective of Topologically Associating Domains. In addition, we alsoﬁnd 25,315 signi ﬁcant associations between CRDs located on distinct chromosomes that form 30 Trans Regulatory Hubs (TRHs) and re ﬂect the global chromatin organization into A/B nuclear compartments. Second, we show that CRDs and TRHs delimit the sets of active regulatory elements controlling the expression ofmost genes and are key contributors of cis and trans gene co expression. Finally, we show that CRDs are under strong genetic control. We discovered 58,968 chromatin peaks affected by nearby genetic variants (cQTLs). At the CRD level, this converts into genetic control of the activity of 6,157 CRDsand the structure of 110 CRDs. In practice, we estimated that 75% of these are eQTLs and showed that CRDs and TRHs capture complex regulatory networks into which theeffects of eQTLs are propagated and combined to affect gene expression. SysGenetiX grant 3826, SNSF Sinergia grant CRSI33_ 130326, SNSF grants 31003A_170096, 31003A_160203 and 163180. O. Delaneau: None. M. Zazhytska: None. C. Borel: None. G. Giannuzzi: None. G. Rey: None. C. Howald: None. H. Ongen: None. K. Popadin: None. D. Marbach: None. G. Ambrosini: None. D. Bielser: None. D. Hacker: None. L. Romano Palumbo: None. P. Ribaux: None. E. Falconnet: None. P. Bucher: None. S. Bergmann: None. S.1044Antonarakis: None. A. Reymond: None. E. Dermitzakis: None.",2019
 Insights from the largest genetic study of sporadic and recurrent miscarriage,PL2.3,"T. Laisk1,2, A. Soares3,4, T. Ferreira5, J. N. Painter6,","S. Laber5,7, J. Bacelis8, C. Chen9, M. Lepamets2, K. Lin10,","S. Liu11,12, I. Y. Millwood10, A. Ramu13, J. Southcombe14, M. S. Andersen15, L. Yang10, C. Becker14, S. D. Gordon6, J. Bybjerg Grauholm16, Ø. Helgeland17, D. M. Hougaard16, X. Jin11, S. Johansson18, J. Juodakis19, C. Kartsonaki10, V. Kuku škina2, P. Lind6, A. Metspalu2, G. W. Montgomery20, A. P. Morris21, P. B. Mortensen16, P. R. Njølstad18, D. R. Nyholt22, M. Lippincott23, S. Seminara23, A. Salumets1, H. Snieder24, K. Zondervan14, Z. Chen10, D. F. Conrad13, B. Jacobsson8,L .L i25, N. G. Martin6, B. Neale9, R. Nielsen26, R. G. Walters10, I. Granne14, S. E. Medland6, R. Mägi2, D. A. Lawlor4,3,27, C. M. Lindgren5,7,28 1Department of Obstetrics and Gynecology, University of Tartu, Tartu, Estonia,2Estonian Genome Center, Institute of Genomics, University of Tartu, Tartu, Estonia,3MRC Integrated Epidemiology Unit at the University of Bristol, Bristol, United Kingdom,4Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, United Kingdom,5Big Data Institute, Li Ka Shing Center for Health for Health Information and Discovery, OxfordUniversity, Oxford, United Kingdom, 6QIMR Berghofer Medical Research Institute, Brisbane, Australia,7Wellcome Centre for Human Genetics, University of Oxford, Oxford,United Kingdom, 8Department of Obstetrics and Gynecol  ogy, Sahlgrenska University Hospital Östra, Gothenburg, Sweden,9Analytic and Translational Genetics Unit, Mas  sachusetts General Hospital, Boston, MA, United States, 10Clinical Trial Service Unit & Epidemiological Studies Unit (CTSU), Nuf ﬁeld Department of Population Health, University of Oxford, Oxford, United Kingdom,11BGI  Shenzhen, Shenzhen, China,12Bioinformatics Centre, Department of Biology, University of Copenhagen, Copen hagen, Denmark, 13Department of Genetics, Washington University in St. Louis, Saint Louis, MO, United States, 14Nufﬁeld Department of Women ’s and Reproductive Health, University of Oxford, Oxford, United Kingdom, 15Department of Endocrinology, Odense University Hospi  tal, Odense, Denmark,16iPSYCH, The Lundbeck Founda  tion Initiative for Integrative Psychiatric Research, Copenhagen, Denmark,17Department of Genetics and Bioinformatics, Health Data and Digitalisation, NorwegianInstitute of Public Health, Oslo, Norway, 18KG Jebsen Center for Diabetes Research, Department of ClinicalScience, University of Bergen, Bergen, Norway,19Depart  ment of Obstetrics and Gynecology, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden,20University of Queensland, Bris  bane, Australia,21Department of Biostatistics, University of Liverpool, Liverpool, United Kingdom,22School of Biome  dical Sciences, Faculty of Health, Queensland University of Technology,, Brisbane, Australia,23Massachusetts General Hospital, Boston, MA, United States,24Department of Epidemiology, University of Groningen, University Medical Center Groningen, Groningen, Netherlands,25Department of Epidemiology & Biostatistics, Peking University HealthScience Centre, Peking University, Beijing, China, 26Department of Integrative Biology, University of Califor  nia Berkeley, Berkeley, CA, United States,27Bristol National Institute of Health Research Biomedical Research Centre, Bristol, United Kingdom,28Program in Medical and Population Genetics, Broad Institute, Boston, MA,United States Introduction: Miscarriage is a common complex trait that affects 10 –25% of all clinically con ﬁrmed pregnancies. Miscarriage is associated with excessive bleeding, infection, depression, infertility and an increased lifetime risk ofcardiovascular disease. A variety of predisposing factors have been associated with increased miscarriage risk, and it has a genetic component that thus far has remained poorlycharacterized. Our aim was to discover and map the maternal genetic susceptibility and underlying biology of sporadic and recurrent miscarriage. Materials and Methods: We performed a genome wide association study including up to 69,118 sporadic mis  carriage cases from seven different ancestries, 750 recurrentmiscarriage cases of European ancestry, and up to 359,469 female controls. We investigated the genetic architecture of miscarriage with biobank scale Mendelian randomization,heritability, genetic correlation and functional annotation analyses. Results: We identi ﬁed one and four loci signi ﬁcantly (p <5×1 0 −8) associated with sporadic and recurrent mis  carriage, respectively. Following functional annotation linked these associations with genes related to gonadotropinregulation, placental biology and progesterone production. We found a heritability of 29% (95%CI 20 –38%) for mis  carriage. Consistent with observational associations, wefound signi ﬁcant genetic correlations between sporadic miscarriage and number of children (p ,7.2 × 10 −9). Conclusion: Our results con ﬁrm miscarriage as a com  plex partly heritable phenotype and implicate novel biology through regulation of genes involved in gonadotropin reg  ulation, placental biology and progesterone production. T. Laisk: None. A. Soares: None. T. Ferreira: None. J. N. Painter: None. S. Laber: None. J. Bacelis: None. C.Abstracts from the 52nd European Society of Human Genetics (ESHG) Conference: Oral Presentations 1045Chen: None. M. Lepamets: None. K. Lin: None. S. Liu: None. I.Y. Millwood: None. A. Ramu: None. J. South  combe: None. M.S. Andersen: None. L. Yang: None. C. Becker: None. S.D. Gordon: None. J. Bybjerg Grau  holm: None. Ø. Helgeland: None. D.M. Hougaard: None. X. Jin: None. S. Johansson: None. J. Juodakis: None. C. Kartsonaki: None. V. Kuku škina: None. P. Lind: None. A. Metspalu: None. G.W. Montgomery: None. A.P. Morris: None. P.B. Mortensen: None. P.R. Njølstad: None. D.R. Nyholt: None. M. Lippincott: None. S. Seminara: None. A. Salumets: None. H. Snieder: None. K. Zondervan: None. Z. Chen: None. D.F. Conrad: None. B. Jacobsson: None. L. Li: None. N.G. Martin: None. B. Neale: None. R. Nielsen: None. R.G. Walters: None. I. Granne: None. S.E. Medland: None. R. Mägi: None. D.A. Lawlor: None. C.M. Lindgren: None.",2019
" Discovery and characterisation of 49 novel genetic disorders from analysing de novo mutations in 31,058 parent child trio exomes",PL2.4,"J. Kaplanis1, K. Samocha1, Z. Zhang2, R. Torene2,","K. Arvai2, S. Lelieveld3, E. de Boer3, E. Kucuk3,","R. Pfundt3, L. van de Wiel3, P. Danecek1, J. McRae4, G. Gallone5, R. Eberhardt1, H. Brunner3, C. Gilissen3, K. Retterer2, M. Hurles1 1Wellcome Sanger Institute, Cambridge, United Kingdom, 2GeneDx, Gaithersburg, MD, United States,3Radboud Institute for Molecular Life Sciences, Nijmegen, Nether  lands,4Illumina, Inc, San Francisco, CA, United States, 5Max Planck Institute for Molecular Genetics, Berlin, Germany Despite the rapid discovery of novel dominant develop  mental disorders (DD) in recent years, many more dominant DDs have yet to be discovered. Following clear consent practices, and only using aggregate, deidenti ﬁed data, we pooled parent child trio exome data from GeneDx, the Deciphering Developmental disorders study and Radboud University Medical Center to form a dataset of 31,058 DDtrios. We identi ﬁed 45,242 de novo mutations (DNMs), which were called with similar sensitivity and speci ﬁcity across the three cohorts. We devised a novel simulation based method to test for an enrichment of damaging DNMs in individual genes. This method scores all classes of variants on a uni ﬁed severity scale based on the empirically  estimated positive predictive value of being pathogenic, and incorporates a gene based weighting derived from the deﬁcit of protein truncating variants (PTVs) in the general population. Applying this method, we identi ﬁed 307 sig  niﬁcantly enriched genes exome wide of which 49 arenovel. The novel genes have a signi ﬁcantly larger ratio of missense to PTV DNMs compared to the known genes, suggesting they are less likely to act via haploinsuf ﬁciency. We also investigated phenotypic similarity in patients harbouring mutations in the novel genes and compared the phenotypic distribution between the known and novelgenes. Overall, we explained ~51% of the exome wide DNM burden within our dataset. We compared the likelihood of our observed DNMs under different under lying genetic models to estimate how many genes underpin the remaining 49% and the sample size needed to identify these. J. Kaplanis: None. K. Samocha: None. Z. Zhang: A. Employment (full or part time); Signi ﬁcant; GeneDx. R. Torene: A. Employment (full or part time); Signi ﬁcant; GeneDx. K. Arvai: A. Employment (full or part time); Signi ﬁcant; GeneDx. S. Lelieveld: None. E. de Boer: None. E. Kucuk: None. R. Pfundt: None. L. van de Wiel: None. P. Danecek: None. J. McRae: A. Employment (full or part time); Signi ﬁcant; Illumina, Inc. G. Gallone: None. R. Eberhardt: None. H. Brunner: None. C. Gilissen: None. K. Retterer: A. Employment (full or part time); Signi ﬁcant; GeneDx. M. Hurles: E. Ownership Interest (stock, stock options, patent or other intellectual property);Signi ﬁcant; Congenica Ltd. F. Consultant/Advisory Board; Signi ﬁcant; Congenica Ltd.",2019
" Loss of MAENLI , a newly characterized lncRNA, results in limb speci ﬁc inactivation of EN1 and a dorsal dimelia limb phenotype",PL2.5,"L. Allou1, S. Balzano2, A. Magg1,3,4, M. Quinodoz2,","B. Royer Bertrand2, R. Schöp ﬂin1,3,4,5, W. L. Chan3,4,","C. E. Speck Martins6, D. Rocha de Carvalho6, L. Farage7, C. Marques Lourenço8, S. Rajagopal9, S. Nampoothiri10, B. Campos Xavier2, C. Chiesa2, F. Niel Bütschi2, M. Spielmann1, V. Desiniotis1, S. Unger2, C. Rivolta2, L. Wittler11, B. Timmermann12, S. Mundlos1,3,4, A. Superti Furga2 1RG Development & Disease, Max Planck Institute for Molecular Genetics, Berlin, Germany,2Medical Genetics Unit, Dept Computat Biol & Div of Genet Medicine, Univ Hospital (CHUV) and Uni Lausanne, Lausanne, Switzer land, 3Institute for Medical and Human Genetics, Charité Universitätsmedizin Berlin, Berlin, Germany, 4Berlin Brandenburg Center for Regenerative Therapies, Charité Universitätsmedizin Berlin, Berlin, Germany, 5Department of Computational Molecular Biology, Max Planck Institute for Molecular Genetics, Berlin, Germany, 6Genetic Unit, SARAH Network of Rehab Hosp, Brasilia, DF, Brazil,7Inst Cardiol do Distrito Federal, Brasilia, DF,1046Brazil,8Ctr Univ Estacio, Facul. Med., Ribeirao Preto, Sao Paulo, Brazil,9Dept Med Genet, Tamil Nadu Dr. M.G.R. Med Univ, Chennai, India,10Dept Pediat Genet, Amrita Inst, Cochin, India,11Department of Developmental Genetics, Max Planck Institute for Molecular Genetics, Berlin, Germany,12Max Planck Institute for Molecular Genetics, Sequencing Core Facility, Berlin, Germany Long non coding RNAs (lncRNAs) have been established as key regulators of gene expression, yet, we are only beginning to understand the nature and extent of the involvement of lncRNAs in human Mendelian diseases. Inthis study, we report three unrelated children, all from consanguineous parents, with a so far undescribed complex limb malformation consistent with a dorsal dimeliaphenotype (syndactyly, mesomelic shortening, triangular tibia, absent patella, vertically positioned feet and nails on the palmar side of digits). Array CGH identi ﬁed over  lapping homozygous deletions located 200 kb upstream of Engrailed 1 (EN1), a homeobox containing gene involved in brain and limb development. CRISPR/Cas9 induced deletions of the homologous region in mice resulted in a double dorsal limb phenotype recapitulating the human malformation due to a complete loss of En1 expression speciﬁcally in the limb. Using genome wide epigenetic studies in the developing mouse and human limbs, we characterized a new lncRNA ( Maenli – Master regulator of engrailed in the limb) in the deleted region consisting of an approximately 1kb 4 exon transcript. Detailed characteriza  tion in vivo including promoter deletion, promoter inver sion, and insertion of a stop cassette showed that Maenli speciﬁcally regulates En1 expression in the limb but not at other sites such as the brain. We also show that theinactivation of Maenli is the cause of the double dorsal limb phenotype and as such the ﬁrst description of an lncRNA in a human developmental disorder. Our study highlights theinvolvement of lncRNAs as a new disease mechanism in congenital malformations. L. Allou: None. S. Balzano: None. A. Magg: None. M. Quinodoz: None. B. Royer Bertrand: None. R. Schöp ﬂin:None. W.L. Chan: None. C.E. Speck Martins: None. D. Rocha de Carvalho: None. L. Farage: None. C. Marques Lourenço: None. S. Rajagopal: None. S. Nampoothiri: None. B. Campos Xavier: None. C. Chiesa: None. F. Niel Bütschi: None. M. Spielmann: None. V. Desiniotis: None. S. Unger: None. C. Rivolta: None. L. Wittler: None. B. Timmermann: None. S. Mundlos: None. A. Superti Furga: None.",2019
" Whole genome sequencing of rare disease patients in anational healthcare systemL. Raymond, on behalf of The NIHR BioResource and the 100,000Genomes Project Rare Diseases Pilot Cambridge Institute for Medical Research, Cambridge, United Kingdom To study genetic variants underlying unresolved Mendelian disorders and to improve interpretation of pathogenic variants, we sequenced the genomes of 13,000 individualswith rare diseases and relatives to an average 30x coverage. Participants were recruited in the UK using approved eligibility criteria for 15 different rare disease domains. Weidentify over 172 million unique short variants (91.5% SNVs, 3% insertions, 6% deletions) in the 10,259 genetically independent samples. Pertinent ﬁndings in over 2,000 diagnostic grade genes with 1,106 unique causal variants (733 SNVs, 263 indels, 104 large deletions, 6 other structural variants) affecting 304 genes were reported.Diagnostic yields varied across disease domains from 1.6–54%. Using a Bayesian genetic association method, BeviMed, we identi ﬁed evidence (posterior probability >0.75) for 99 genetic associations between rare variants and groupings of patients with similar phenotypes. Of these 61 hadﬁ rmly established evidence for causality. We identi ﬁed novel variants in regulatory elements of ARPC1B ,GATA1 , LRBA andMPL . We used Telomerecat software to estimate telomere lengths (TL). We identi ﬁed rare variants in TERT and DKC1 in patients with extremely short TLs. We demonstrate how rare variants in previously reported GWAS loci facilitate identi ﬁcation of novel monogenic disease genes. We demonstrate the feasibility of using WGS across a national healthcare system to deliver a diagnosis for patients, to identify novel associations and complex geneticarchitecture in rare diseases.",PL2.6,L. Raymond: None.,PL3,Mendel Award Lecture,2019
A 25 Year Genomic Odyssey,PL3.1,C. Venter,"J. Craig Venter Institute, San Diego, CA, United States","In 1995 J. Craig Venter, Ph.D. and team at the Venter Institute sequenced the ﬁrst genome in history followed ﬁve years later when Celera Genomics published the ﬁrst draft human genome which was a composite of ﬁve individual ’s genomes. In 2007 he and his team at the J. Craig Venter Institute published the ﬁrst complete diploid humanAbstracts from the 52nd European Society of Human Genetics (ESHG) Conference: Oral Presentations 1047genome, which was his genome. While these genomes were an important starting point for research, they were not enough to change health care. Hundreds of thousands of people need to have their own genome sequenced and done so at a complete and accurate level to have suf ﬁcient data to interpret the genome. Cost was prohibitive and thetechnology was not yet robust enough in 2007 to make this a reality. Three years ago, this changed with the advent of new sequencing technology and improved bioinformaticsand machine learning tools. Dr. Venter and his team continue their work today which was begun decades ago in comparing genotype to phenotype to better understandhuman biology, health and disease. He will discuss ongoing research which the primary objective is to realize the full impact of genomics prediction, to have a thorough under standing of the DNA software and how it codes for the wide range of human phenotypes and abilities. He and his team have a 25 year track record of continually increasing theinformation content that can be derived from the human genome. More recently, we have merged this expertise with an extensive phenotyping platform and machine learningtechniques to demonstrate its predictive power to improve health outcomes. Dr. Venter will also discuss his pioneering work in synthetic biology. In 2010, he and his team at theVenter Institute became the ﬁrst to successfully construct ‘synthetic life ’—putting humankind at the threshold of the most important and exciting phase of biological research,one that is enabling us to actually write the genetic code for designing new species that can be used in many ways for the betterment of mankind. The science of syntheticgenomics is and will continue to have a profound impact on human existence, including new chemical and energy generation, human health and medical advances, cleanwater and food production, positive environmental impact, and possibly even our evolution. C. Venter: None. PL4 ESHG Award Lecture",2019
 We and our second genome: two key players in common complex diseases,PL4.1,C. Wijmenga,"Lodewijk Sandkuijl Professor of Human Genetics, UMCG","Groningen, Groningen, Netherlands The manifestation of common complex diseases is the outcome of interaction of many different genetic factors in conjunction with non genetic environmental factors. Inrecent years, the knowledge on our genome has been greatly expanded, as thousands of genetic variants have been associated to hundreds of complex traits and diseases. In addition, we have seen increasing awareness of the important role of another set of genomes in our body, also known as human microbiome or our second genome. Ourgut microbiome encodes some 150 times more genes that the host genome. While the human genome is set at birth, the gut microbiome can undergo dynamic changes over thecourse of an individual ’s life. By making use of the population based LifeLines DEEP cohort, we have shown that the inter individual variation of the gut microbiomecaptures quite some of the variation contributed by genetic and non genetic environmental factors, thereby contributing to the susceptibility to complex diseases. Since the gutmicrobiome can be modi ﬁed, this offers opportunities for future therapeutic interventions. However we ﬁrst need to understand if changes in the microbiome cause disease, orwhether the microbial changes are the consequence of disease. To move towards causality we applied, as a proof  of concept, Mendelian Randomization and were able toshow that microbial changes are causal for type 2 diabetes and metabolic traits. Furthermore, we are developing a gut  on a chip, a sophisticated micro ﬂuidic device to study the interplay between the human host, the gut epithelial barrier, the immune system and the gut microbiome. C. Wijmenga: None. Concurrent Symposia S01 Updates in psychiatric genetic",2019
 Genome wide patterns of structural mutation andselection guide the identi ﬁcation of cis regulatory structural variants in autism,S01.2,J. Sebat,"1, P. Tandon2","1La Jolla, CA, United States,2UCSD, La Jolla, CA, United States. Genome rearrangement is a driving force in human evolution and a contributor to complex traits and diseases. Structural Variants (SVs), including deletions and duplica  tions of chromosomal regions, exhibit signi ﬁcant clustering in the genome, re ﬂecting regional differences in mutation rate and the action of natural selection. Our work develops a multi scale regression model to predict SV mutation ratesbased on DNA sequence motif features. By applying our random mutation model to population data, we identify1048categories of functional elements that are under signi ﬁcant SV constraint, including enhancers and promoters and UTRs. We then apply SV constraint to estimate the deleteriousness of SVs in genome sequencing studies, and we demonstrate that a proportion of the inherited risk for autism is attributable cis regulatory structural variants(CRE SVs). P. Tandon: None.",2019
