,Unnamed: 0.1,Unnamed: 0,Title,Session_Code,Author,Affiliations,Text,Year,Authors_and_Affiliations,Email,Sentence,Person-first,Identity-first,PF_nouns,IF_nouns
0,3095,280,Microdeletion and microduplication in two Lithuanian patients with speech delay,P11.01,"V. SËliuas1,2, B. Aleksiuniene1,2, E. Dagyte1,2,L .","Ambrozaityte1,2, B. Tumiene1,2, B. Burnyte1,2,A .","Utkus1,2 1Department of Human and Medical Genetics, Faculty of Medicine, Vilnius, Lithuania,2Center for Medical Genetics, Vilnius University Hospital Santariskiu Clinics, Vilnius, Lithuania Introduction: Recurrent 16p11.2 microdeletion and microduplication syndrome is a well described condition with various expression of neurocognitive features and congenital malformations. Incomplete penetrance of theaffected genes and variable expressivity usually is indicated as cause of clinical features. Here we present two unrelated patients from Lithuania with opposite CNVs in the 16p11.2region. Methods and results: SNP CGH analysis using Illumina HumanCytoSNP 12v2.1 BeadChips has been performed. 571 kb microdeletion at 16p11.2(29628020_30199805 hg19) has been detected in the ï¬rst male patient who has expressive and receptive language delay with minor facial and behavioral abnormalities. Smaller 366 kb microduplication of almost the same chro mosome 16 region (29833488_30199805 hg19) has been detected in the second female patient with severely delayedspeech development, global psychomotor retardation, hypernasal speech, muscular hypotonia and dysmorphic features. Discussion: 16p11.2 region is a variable site withmany clinically insigni ï¬cant small CNVs detected. Larger CNVs, encompassing disease related genes, are subject for interpretation on clinical signi ï¬cance when neurological features are manifested. 16p11.2 CNVs are often detected in ASD patients but our patients do not manifest any similar features. Delayed speech is the only common clinical fea ture in both of our patients and it is one of most frequent features indicated in patients with 16p11.2 CNVs. Invol vement of this genomic region in speech development hasbeen con ï¬rmed by several studies although candidate genes have not been determined yet. Five disease related genes arelocated in affected region and only haploinsuf ï¬ciency sen sitive TBX6 has indirect effect on neural development. V. Å liuas: None. B. Aleksiuniene: None. E. Dagyte: None. L. Ambrozaityte: None. B. Tumiene: None. B. Burnyte: None. A. Utkus: None. E",2017,,,16p11.2 CNVs are often detected in ASD patients but our patients do not manifest any similar features.,,ASD patient,,patient
1,2166,690,"Deletion: involvement of SNTG2 in autism or behavioral troubles, and parental imprinting.",PS08.05,"M. Plutino1, H. Karmous Benailly1, F. Giuliano1, C. Massol1, K. Wagner2, V. Paquis  Flucklinger1, M. Dayem Quere1","1HÃÂ´pital de lÃ¢ÂÂ Archet II, CHU de Nice, Nice, France, 2HÃÂ´pitaux PÃÂ©diatriques de Nice, CHU  Lenval, Nice, France","Deletions of the terminal region of the short arm of chromosome 2 have been reported in the literature in less than 20 patients. These patients share common clinical features including early onset obesity, intellectual disabili ty and behavioral troubles or autism. A minimal critical region of 1.97 Mb has been estimated, encompassing seven genes (SH3HYL1 , ACP1, TMEM18 , SNTG2, TPO, PXDN, and MYT1L). Many recent studies pointed out MYT1L gene as the main candidate for ID and obesity. We present three new pa tients carrying 2p25 deletions: an autist female child with developmental delay and her depressive father, and a third unrelated patient who has psy chomotor retardation and behavioral troubles. Moreover, our patients do not have an overweight phenotype, highlighting indeed the role of MYT1L in obesity, as none of the deletions encompasses MYT1L. The only common disrupted gene is SNTG2, thus redefining the smallest region of overlap for autism. SNTG2 is expressed in brain. Its product interacts with neuroligins NLGN3, NLGN4X, and NLGN4Y, which are autism related isoforms. Finally, the parental origin of the deletions seems to be of interest, as all inherited deletions described today appear to be inherited from the paternal side. We will discuss the possible imprinting of the 2p25 region and its role in au tism. ABSTRACTS POSTERS ESHG 2015 | GLASGOW, SCOTLAND, UK | WWW. ESHG. ORG 152Back to inde x",2015,,,"We present three new pa tients carrying 2p25 deletions: an autist female child with developmental delay and her depressive father, and a third unrelated patient who has psy chomotor retardation and behavioral troubles.",,autist female child,,child
2,1303,958, A 3 year old patient with autism and microdeletion in the KIAA0442 (AUTS2 ) gene,P09.027,"C. Huebner1, D. Steinemann2, J. Schmidtke1, M. Arslan Kirchner1","1Institute of Human Genetics, Hannover Medical School, Hannover, Germany, 2Institute  for Cellular and Molecular Pathology, Hannover Medical School, Hannover, Germany","A 2 10/12 year old boy with bilateral cleft lip and cleft palate as well as de velopmental delay was presented to our genetics clinic. He is the first child of non consanguineous healthy parents. He shows behavioural patterns of Abstracts European Human Genetics Conference 2012 www.eshg.org224 ESHG Posters www.eshg.orgthe autism which include avoiding eye contact, no response to his name, playing alone and stereotyped movements when listening to music. His postnatal chromosomal analysis revealed a normal male karyotype 46,XY. Array CGH analysis showed a microdeletion of 170 kb: arr (7q11.22) (70,077,607 70,247,036)x1 dn. This part of the chromosome contains exons 6 15 of the 19 exons spanning the AUTS2 gene. His parents do not carry this microdeletion, indicating that it was a de novo event. autism (ASD, OMIM 209850) encompasses different forms of autism with a broader phenotype. Two thirds of all patients with ASD suffer from mental retardation. Among the genes involved, AUTS2 dis ruption has been described in 7 patients with ASD and mental retardation. In all of these seven patients translocations with different breakpoints bet ween exon 1 and 7 and different translocation partners were the underlying mechanism of the disruption. Additionally other genes were disrupted ac cording to the breakpoint of the partner chromosome. Our patient shares the same symptoms as the 7 patients with translocation, indicating that disturbed function of AUTS2 and not the truncated translocation partner causes the clinical presentation of the patients.",2012,,,Two thirds of all patients with ASD suffer from mental retardation.,patient with ASD,,patient,
3,1303,958, A 3 year old patient with autism and microdeletion in the KIAA0442 (AUTS2 ) gene,P09.027,"C. Huebner1, D. Steinemann2, J. Schmidtke1, M. Arslan Kirchner1","1Institute of Human Genetics, Hannover Medical School, Hannover, Germany, 2Institute  for Cellular and Molecular Pathology, Hannover Medical School, Hannover, Germany","A 2 10/12 year old boy with bilateral cleft lip and cleft palate as well as de velopmental delay was presented to our genetics clinic. He is the first child of non consanguineous healthy parents. He shows behavioural patterns of Abstracts European Human Genetics Conference 2012 www.eshg.org224 ESHG Posters www.eshg.orgthe autism which include avoiding eye contact, no response to his name, playing alone and stereotyped movements when listening to music. His postnatal chromosomal analysis revealed a normal male karyotype 46,XY. Array CGH analysis showed a microdeletion of 170 kb: arr (7q11.22) (70,077,607 70,247,036)x1 dn. This part of the chromosome contains exons 6 15 of the 19 exons spanning the AUTS2 gene. His parents do not carry this microdeletion, indicating that it was a de novo event. autism (ASD, OMIM 209850) encompasses different forms of autism with a broader phenotype. Two thirds of all patients with ASD suffer from mental retardation. Among the genes involved, AUTS2 dis ruption has been described in 7 patients with ASD and mental retardation. In all of these seven patients translocations with different breakpoints bet ween exon 1 and 7 and different translocation partners were the underlying mechanism of the disruption. Additionally other genes were disrupted ac cording to the breakpoint of the partner chromosome. Our patient shares the same symptoms as the 7 patients with translocation, indicating that disturbed function of AUTS2 and not the truncated translocation partner causes the clinical presentation of the patients.",2012,,,"Among the genes involved, AUTS2 dis ruption has been described in 7 patients with ASD and mental retardation.",patient with ASD,,patient,
4,1057,1114, a c GH analysis of two families showing both autism and epilepsy,P09.033,"R. Combi1, S. Redaelli2, V. Sansoni1, C. M. Cornaggia3, L. DalprÃÂ 2","1Dept of Biotechnology and Biosciences, University of Milano Bicocca, Milano,  Italy, 2Dept of Neurosciences and Biomedical Technologies, University of  Milano Bicocca, Monza, Italy, 3Clinical Psychiatry, University of Milano Bicocca,  Monza, Italy","autism is a genetic disorder, with an estimated heritability greater than 90%. Over the past years, the convergence of genomic technologies has led to the identification of several susceptibility loci by means of linkage studies. autism is associated with epilepsy in early childhood and epilepsy occurs in 10 30% of autism patients. We analysed two families showing both autism and epilepsy. The first one is the family of a woman, showing a severe and progressive epileptic disorder, who is married with an healthy man and has six children: two girls are healthy, a girl and two boys are affected by autism, while a boy showed partial seizures only twice. The three children with autism show a moderate mental retardation and an EEG with no epileptic alterations. The second family is composed by an epileptic woman married with a healthy man and their child affected by autism. The genetic basis of autism and epilepsy were studied in these families. In particular, we performed an array CGH analysis to search for pathological CNVs which are common to all affected members of the two families. The study detected a single common region on chromosome 15q11.2, which has already been reported to be either deleted or duplicated in about 1% of epileptic patients. Moreover, the same region was associated with ASDs (autism). We found a loss of 15q11.2 in all individuals belonging to the first family, while a gain of the region in the two affected members of the second family. Complex traits and polygenic disorder274",2011,,,autism is associated with epilepsy in early childhood and epilepsy occurs in 10 30% of autism patients.,,autism patient,,patient
5,1057,1114, a c GH analysis of two families showing both autism and epilepsy,P09.033,"R. Combi1, S. Redaelli2, V. Sansoni1, C. M. Cornaggia3, L. DalprÃÂ 2","1Dept of Biotechnology and Biosciences, University of Milano Bicocca, Milano,  Italy, 2Dept of Neurosciences and Biomedical Technologies, University of  Milano Bicocca, Monza, Italy, 3Clinical Psychiatry, University of Milano Bicocca,  Monza, Italy","autism is a genetic disorder, with an estimated heritability greater than 90%. Over the past years, the convergence of genomic technologies has led to the identification of several susceptibility loci by means of linkage studies. autism is associated with epilepsy in early childhood and epilepsy occurs in 10 30% of autism patients. We analysed two families showing both autism and epilepsy. The first one is the family of a woman, showing a severe and progressive epileptic disorder, who is married with an healthy man and has six children: two girls are healthy, a girl and two boys are affected by autism, while a boy showed partial seizures only twice. The three children with autism show a moderate mental retardation and an EEG with no epileptic alterations. The second family is composed by an epileptic woman married with a healthy man and their child affected by autism. The genetic basis of autism and epilepsy were studied in these families. In particular, we performed an array CGH analysis to search for pathological CNVs which are common to all affected members of the two families. The study detected a single common region on chromosome 15q11.2, which has already been reported to be either deleted or duplicated in about 1% of epileptic patients. Moreover, the same region was associated with ASDs (autism). We found a loss of 15q11.2 in all individuals belonging to the first family, while a gain of the region in the two affected members of the second family. Complex traits and polygenic disorder274",2011,,,The three children with autism show a moderate mental retardation and an EEG with no epileptic alterations.,child with autism,,child,
6,968,317, A c GH Array study in non syndromic (primary) autism disorder,P02.059,"E. Gumuslu1, N. Cine1, B. Kara2, H. Savli1","1Kocaeli University Medical Genetics Department, Kocaeli, Turkey, 2Kocaeli  University Department Of Pediatrics, Kocaeli, Turkey","iNtRODU cti ON: autism is a neurodevelopmental disorder with a strong genetic basis in its etiology. Cytogenetic abnormalities have been detected in 5 10% of the patients with autism. Conventional karyotype analysis has revealed that chromosomal structural aberrations such as translocation, inversion, deletion, and duplication play a role in causing autism. Unfortunately, there is not a single specific biological marker clearly responsible from autism. Array CGH is a molecular karyotyping method remarkable with fast analysis and highly sensitive diagnostic value. We aimed to use this technology to screen autistic patientÃ¢ÂÂs whole genome in order to investigate new dchromosomal abberations. m A t ER i AL AND m E t HOD: We isolated DNA samples of 35 primary autism patients between 0 18 years(median age:8.5).DNA samples which labelled according to the protocol, were hybridized with CytoSure syndrome Plus(v2) 4x44K (Oxford Gene Technology, Oxford, UK) microchips and scanned with Agilent Microarray Scanner( Agilent Technologies, Palo Alto, CA ). Obtained data were analyzed using Cytosure Analysis Software v.2.0.8 software(Oxford Gene Technology, Oxford, UK).RE s UL ts : We found 16p13.11 deletion in thirteen patients, 16p11.2 deletion in twelve patients, 1q21 deletion in ten patients, 2q21.1 deletion in eight patients, 2p21 deletion in seven patients, 8p23.1 deletions in seven patients. c ON c LU si ON: Accordig to these data, we can postulate that 16p13.11 region and related genes also represent a predisposition to autism in our patients. Verification of the data belonging to these regions, may provide important clues for gene expression and proteomics studies responsible from the pathogenesis of the disease and treatment strategies.",2011,,,"m A t ER i AL AND m E t HOD: We isolated DNA samples of 35 primary autism patients between 0 18 years(median age:8.5).DNA samples which labelled according to the protocol, were hybridized with CytoSure syndrome Plus(v2) 4x44K (Oxford Gene Technology, Oxford, UK) microchips and scanned with Agilent Microarray Scanner( Agilent Technologies, Palo Alto, CA ).",,autism patient,,patient
7,968,317, A c GH Array study in non syndromic (primary) autism disorder,P02.059,"E. Gumuslu1, N. Cine1, B. Kara2, H. Savli1","1Kocaeli University Medical Genetics Department, Kocaeli, Turkey, 2Kocaeli  University Department Of Pediatrics, Kocaeli, Turkey","iNtRODU cti ON: autism is a neurodevelopmental disorder with a strong genetic basis in its etiology. Cytogenetic abnormalities have been detected in 5 10% of the patients with autism. Conventional karyotype analysis has revealed that chromosomal structural aberrations such as translocation, inversion, deletion, and duplication play a role in causing autism. Unfortunately, there is not a single specific biological marker clearly responsible from autism. Array CGH is a molecular karyotyping method remarkable with fast analysis and highly sensitive diagnostic value. We aimed to use this technology to screen autistic patientÃ¢ÂÂs whole genome in order to investigate new dchromosomal abberations. m A t ER i AL AND m E t HOD: We isolated DNA samples of 35 primary autism patients between 0 18 years(median age:8.5).DNA samples which labelled according to the protocol, were hybridized with CytoSure syndrome Plus(v2) 4x44K (Oxford Gene Technology, Oxford, UK) microchips and scanned with Agilent Microarray Scanner( Agilent Technologies, Palo Alto, CA ). Obtained data were analyzed using Cytosure Analysis Software v.2.0.8 software(Oxford Gene Technology, Oxford, UK).RE s UL ts : We found 16p13.11 deletion in thirteen patients, 16p11.2 deletion in twelve patients, 1q21 deletion in ten patients, 2q21.1 deletion in eight patients, 2p21 deletion in seven patients, 8p23.1 deletions in seven patients. c ON c LU si ON: Accordig to these data, we can postulate that 16p13.11 region and related genes also represent a predisposition to autism in our patients. Verification of the data belonging to these regions, may provide important clues for gene expression and proteomics studies responsible from the pathogenesis of the disease and treatment strategies.",2011,,,We aimed to use this technology to screen autistic patientÃ¢ÂÂs whole genome in order to investigate new dchromosomal abberations.,,autistic patient,,patient
8,968,317, A c GH Array study in non syndromic (primary) autism disorder,P02.059,"E. Gumuslu1, N. Cine1, B. Kara2, H. Savli1","1Kocaeli University Medical Genetics Department, Kocaeli, Turkey, 2Kocaeli  University Department Of Pediatrics, Kocaeli, Turkey","iNtRODU cti ON: autism is a neurodevelopmental disorder with a strong genetic basis in its etiology. Cytogenetic abnormalities have been detected in 5 10% of the patients with autism. Conventional karyotype analysis has revealed that chromosomal structural aberrations such as translocation, inversion, deletion, and duplication play a role in causing autism. Unfortunately, there is not a single specific biological marker clearly responsible from autism. Array CGH is a molecular karyotyping method remarkable with fast analysis and highly sensitive diagnostic value. We aimed to use this technology to screen autistic patientÃ¢ÂÂs whole genome in order to investigate new dchromosomal abberations. m A t ER i AL AND m E t HOD: We isolated DNA samples of 35 primary autism patients between 0 18 years(median age:8.5).DNA samples which labelled according to the protocol, were hybridized with CytoSure syndrome Plus(v2) 4x44K (Oxford Gene Technology, Oxford, UK) microchips and scanned with Agilent Microarray Scanner( Agilent Technologies, Palo Alto, CA ). Obtained data were analyzed using Cytosure Analysis Software v.2.0.8 software(Oxford Gene Technology, Oxford, UK).RE s UL ts : We found 16p13.11 deletion in thirteen patients, 16p11.2 deletion in twelve patients, 1q21 deletion in ten patients, 2q21.1 deletion in eight patients, 2p21 deletion in seven patients, 8p23.1 deletions in seven patients. c ON c LU si ON: Accordig to these data, we can postulate that 16p13.11 region and related genes also represent a predisposition to autism in our patients. Verification of the data belonging to these regions, may provide important clues for gene expression and proteomics studies responsible from the pathogenesis of the disease and treatment strategies.",2011,,,"m A t ER i AL AND m E t HOD: We isolated DNA samples of 35 primary autism patients between 0 18 years(median age:8.5).DNA samples which labelled according to the protocol, were hybridized with CytoSure syndrome Plus(v2) 4x44K (Oxford Gene Technology, Oxford, UK) microchips and scanned with Agilent Microarray Scanner( Agilent Technologies, Palo Alto, CA ).",,primary autism patient,,patient
9,968,317, A c GH Array study in non syndromic (primary) autism disorder,P02.059,"E. Gumuslu1, N. Cine1, B. Kara2, H. Savli1","1Kocaeli University Medical Genetics Department, Kocaeli, Turkey, 2Kocaeli  University Department Of Pediatrics, Kocaeli, Turkey","iNtRODU cti ON: autism is a neurodevelopmental disorder with a strong genetic basis in its etiology. Cytogenetic abnormalities have been detected in 5 10% of the patients with autism. Conventional karyotype analysis has revealed that chromosomal structural aberrations such as translocation, inversion, deletion, and duplication play a role in causing autism. Unfortunately, there is not a single specific biological marker clearly responsible from autism. Array CGH is a molecular karyotyping method remarkable with fast analysis and highly sensitive diagnostic value. We aimed to use this technology to screen autistic patientÃ¢ÂÂs whole genome in order to investigate new dchromosomal abberations. m A t ER i AL AND m E t HOD: We isolated DNA samples of 35 primary autism patients between 0 18 years(median age:8.5).DNA samples which labelled according to the protocol, were hybridized with CytoSure syndrome Plus(v2) 4x44K (Oxford Gene Technology, Oxford, UK) microchips and scanned with Agilent Microarray Scanner( Agilent Technologies, Palo Alto, CA ). Obtained data were analyzed using Cytosure Analysis Software v.2.0.8 software(Oxford Gene Technology, Oxford, UK).RE s UL ts : We found 16p13.11 deletion in thirteen patients, 16p11.2 deletion in twelve patients, 1q21 deletion in ten patients, 2q21.1 deletion in eight patients, 2p21 deletion in seven patients, 8p23.1 deletions in seven patients. c ON c LU si ON: Accordig to these data, we can postulate that 16p13.11 region and related genes also represent a predisposition to autism in our patients. Verification of the data belonging to these regions, may provide important clues for gene expression and proteomics studies responsible from the pathogenesis of the disease and treatment strategies.",2011,,,Cytogenetic abnormalities have been detected in 5 10% of the patients with autism.,patient with autism,,patient,
